Circuit,CircuitLength,TotalLaps,FuelByLap,RaceDistance,AverageSpeed,Corners,Traction,Braking,Lateral,TyreStress,TrackEvolution,AsphaltGrip,AsphaltAbrasion,Downforce
Bahrain,5.412,57,0.018,308.238,218.5,15,4,4,3,3,4,3,5,3
Jeddah,6.174,50,0.020,308.450,254.1,27,2,2,3,3,4,3,2,2
Australia,5.303,58,0.017,307.574,250.3,14,3,3,3,3,4,2,2,3
Miami,5.412,57,0.018,308.326,223.3,19,3,3,3,3,5,3,2,2
Baku,6.003,51,0.020,306.049,213.2,20,5,4,1,3,5,1,1,1
Canada,4.361,70,0.014,305.270,223.5,14,5,5,1,3,5,1,2,1
Austria,4.318,71,0.014,306.452,241.7,10,3,3,3,3,3,3,4,4
Hungary,4.381,70,0.014,306.630,209.7,14,4,3,3,3,4,3,2,5
Belgium,7.004,44,0.023,308.052,222.8,19,3,4,5,5,3,3,4,2
Netherlands,4.259,72,0.014,306.587,220.1,14,4,3,4,5,3,4,3,4
Monza,5.793,53,0.019,306.720,262.9,11,3,4,2,5,3,2,3,1
Austin,5.513,56,0.018,308.405,215.0,20,4,3,4,4,4,3,4,4
Mexico,4.304,71,0.014,305.354,204.0,17,3,3,2,2,4,2,2,5
Brazil,4.309,71,0.014,305.879,225.1,15,3,3,3,3,4,3,4,4
AbuDhabi,5.281,58,0.017,306.183,230.2,16,4,4,3,3,4,2,3,3
Singapore,4.927,62,0.016,305.337,198.6,23,4,5,2,2,4,3,3,5
Qatar,5.419,57,0.018,308.611,242.3,16,3,3,5,5,4,3,3,4
Vegas,6.201,50,0.020,309.958,241.8,17,2,3,2,3,5,3,3,1